City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,el nido,11.1858,119.3956,29.78,68,44,4.29,PH,1699850578
231,zhosaly,45.4878,64.0781,6.56,73,6,1.75,KZ,1699850578
232,srivardhan,18.0333,73.0167,31.02,48,30,2.25,IN,1699850578
233,olinda,-8.0089,-34.8553,25.85,73,40,3.09,BR,1699850578
234,tejen,37.3834,60.5054,15.68,31,0,7.41,TM,1699850578
235,praia da vitoria,38.7333,-27.0667,17.14,82,40,1.15,PT,1699850578
236,afaahiti,-17.75,-149.2833,23.93,81,64,2.56,PF,1699850578
237,cidreira,-30.1811,-50.2056,20.65,97,97,8.5,BR,1699850578
238,teknaf,20.8624,92.3058,28.66,60,49,1.78,BD,1699850579
239,arvayheer,46.2639,102.775,-0.78,12,13,0.59,MN,1699850579
240,santiago de cao,-7.9589,-79.2392,19.07,88,75,4.63,PE,1699850579
241,lihue,21.9789,-159.3672,26.58,77,75,10.29,US,1699850300
242,tsiroanomandidy,-18.7667,46.0333,24.7,63,92,1.3,MG,1699850579
243,touros,-5.1989,-35.4608,26.54,70,54,5.79,BR,1699850579
244,umluj,25.0213,37.2685,28.48,58,100,0.66,SA,1699850579
245,vigan,17.5747,120.3869,31.63,87,15,3.47,PH,1699850579
246,nishinoomote,30.7333,131.0,15.31,47,40,7.72,JP,1699850580
247,egilsstadir,65.2653,-14.3948,0.95,93,75,4.63,IS,1699850580
248,dalandzadgad,43.5708,104.425,2.36,17,55,0.63,MN,1699850580
249,kakata,6.53,-10.3517,23.49,98,100,0.56,LR,1699850580
250,oppdal,62.5943,9.6912,-5.38,72,6,2.43,NO,1699850580
251,celestun,20.8667,-90.4,25.6,81,47,5.22,MX,1699850580
252,toliara,-23.35,43.6667,25.89,65,0,1.2,MG,1699850580
253,ixtapa,20.7,-105.2,26.57,78,40,2.57,MX,1699850580
254,ponta delgada,37.7333,-25.6667,20.4,94,75,4.12,PT,1699850580
255,dolinsk,47.35,142.8,-1.82,65,80,0.96,RU,1699850581
256,sabzevar,36.2126,57.6819,8.6,61,0,4.12,IR,1699850581
257,argo,37.6333,22.7333,15.99,90,99,1.86,GR,1699850581
258,saudarkrokur,65.7461,-19.6394,-1.15,72,96,3.24,IS,1699850581
259,tres lagoas,-20.7511,-51.6783,29.32,31,60,1.8,BR,1699850433
260,talachyn,54.4097,29.6917,4.5,91,100,6.65,BY,1699850581
261,belyy yar,53.6039,91.3903,-6.06,79,100,0.0,RU,1699850581
262,bayanhongor,46.7167,100.1167,-9.37,45,3,0.6,MN,1699850582
263,pasan,22.85,82.2,25.19,46,54,2.04,IN,1699850582
264,dikhil,11.5,42.1667,25.07,65,30,4.47,DJ,1699850582
265,sisimiut,66.9395,-53.6735,-10.29,84,46,3.72,GL,1699850582
266,kotabumi,-4.8333,104.9,35.04,41,93,2.64,ID,1699850582
267,san jose del cabo,23.0589,-109.6977,26.39,71,40,3.6,MX,1699850582
268,barras,-4.2444,-42.2944,21.89,95,0,1.73,BR,1699850583
269,gaiman,-43.2897,-65.4929,12.52,33,56,8.66,AR,1699850583
270,palmer,42.1584,-72.3287,-1.16,77,0,0.0,US,1699850583
271,mount gambier,-37.8333,140.7667,17.6,46,29,4.36,AU,1699850583
272,dawson creek,55.7666,-120.2362,-2.2,86,0,0.0,CA,1699850367
273,karratha,-20.7377,116.8463,30.76,36,45,8.34,AU,1699850298
274,diamantino,-14.4086,-56.4461,27.6,55,60,2.03,BR,1699850584
275,singkil,-7.9855,111.4161,32.21,54,53,2.75,ID,1699850584
276,acacias,3.987,-73.758,21.05,88,88,2.74,CO,1699850476
277,broome,42.2506,-75.833,-0.79,82,0,0.0,US,1699850584
278,bani walid,31.7566,13.9942,16.38,60,0,2.8,LY,1699850584
279,tateyama,34.9833,139.8667,11.83,63,81,6.99,JP,1699850585
280,phan rang-thap cham,11.5667,108.9833,24.82,91,100,5.4,VN,1699850585
281,zaozersk,69.4005,32.4476,-11.33,94,99,3.23,RU,1699850585
282,gerash,27.6652,54.1371,14.08,18,64,0.61,IR,1699850585
283,la passe,45.5549,-0.8967,16.66,85,93,6.41,FR,1699850585
284,labrador city,52.9463,-66.9114,-8.05,93,100,2.06,CA,1699850586
285,enriquillo,17.9,-71.2333,25.85,88,22,6.14,DO,1699850586
286,fauske,67.2588,15.3918,-1.79,73,2,3.37,NO,1699850586
287,burang,30.25,81.1667,2.93,26,0,2.36,CN,1699850586
288,gudiyatham,12.95,78.8667,26.02,66,100,4.31,IN,1699850586
289,cody,44.5263,-109.0565,3.34,48,0,1.54,US,1699850586
290,punasa,22.2333,76.4,24.87,42,99,3.33,IN,1699850587
291,cedar city,37.6775,-113.0619,2.54,32,0,2.06,US,1699850587
292,banlung,13.7468,107.0045,31.59,48,75,3.44,KH,1699850555
293,togur,58.3631,82.8265,0.64,99,100,2.68,RU,1699850587
294,nova vicosa,-17.8919,-39.3719,24.03,84,2,6.38,BR,1699850587
295,sucre,-19.0333,-65.2627,15.56,61,100,4.27,BO,1699850176
296,sai buri,6.7013,101.6168,32.76,67,95,3.24,TH,1699850587
297,akureyri,65.6835,-18.0878,0.96,69,75,1.03,IS,1699850588
298,ad dilam,23.9915,47.1627,21.23,48,78,2.38,SA,1699850588
299,richards bay,-28.783,32.0377,19.11,82,99,3.08,ZA,1699850588
300,talnakh,69.4865,88.3972,-4.33,97,100,3.01,RU,1699850589
301,eyl,7.9803,49.8164,28.73,69,98,8.14,SO,1699850589
302,ketchikan,55.3422,-131.6461,6.99,61,0,4.63,US,1699850589
303,crane,31.3974,-102.3501,13.87,84,100,3.85,US,1699850589
304,tobelo,1.7284,128.0095,28.95,75,99,1.67,ID,1699850589
305,minas de marcona,-15.2119,-75.1103,14.28,90,90,5.78,PE,1699850590
306,guiyang,26.5833,106.7167,6.27,81,100,4.0,CN,1699850303
307,cabo san lucas,22.8909,-109.9124,26.53,70,63,2.29,MX,1699849799
308,lubuklinggau,-3.3,102.8667,33.29,53,92,1.46,ID,1699850590
309,whistler,50.1164,-122.9695,1.98,98,100,1.48,CA,1699850590
310,satka,55.0425,59.04,2.87,66,100,1.48,RU,1699850590
311,lospalos,-8.5186,127.0025,30.51,48,14,4.89,TL,1699850591
312,cannonvale,-20.2833,148.7,26.66,54,0,6.81,AU,1699850591
313,sao gabriel da cachoeira,-0.1303,-67.0892,23.46,97,43,0.36,BR,1699850591
314,keetmanshoop,-26.5833,18.1333,21.86,15,0,2.37,NA,1699850591
315,kourou,5.1552,-52.6478,25.8,89,3,3.49,GF,1699850591
316,t'aebaek,37.1759,128.9889,3.65,26,0,3.22,KR,1699850591
317,kalajoki,64.25,23.95,-1.16,82,100,4.55,FI,1699850592
318,angaur state,6.906,134.13,29.41,73,92,5.46,PW,1699850592
319,ingeniero jacobacci,-41.3427,-69.5448,4.08,61,0,6.2,AR,1699850592
320,corinth,37.9407,22.9573,16.05,96,100,1.64,GR,1699850592
321,villa bruzual,9.3328,-69.1208,24.4,84,99,0.99,VE,1699850592
322,sierra grande,-41.606,-65.3557,10.88,26,19,4.85,AR,1699850592
323,candelaria,13.9311,121.4233,26.33,73,87,4.73,PH,1699850592
324,padang,-0.9492,100.3543,29.03,80,72,3.14,ID,1699850592
325,arraial do cabo,-22.9661,-42.0278,23.77,90,80,2.18,BR,1699850593
326,idri,27.5,13.2667,17.21,64,0,2.91,LY,1699850593
327,kemijarvi,66.7131,27.4306,-8.33,96,100,2.24,FI,1699850593
328,kegen,43.0197,79.2203,-2.63,90,100,1.63,KZ,1699850593
329,isangel,-19.55,169.2667,26.06,73,75,2.57,VU,1699850593
330,bikenibeu village,1.3673,173.1241,28.98,84,75,1.54,KI,1699850593
331,mount isa,-20.7333,139.5,37.87,20,6,6.69,AU,1699850594
332,san antonio de pale,-1.4014,5.6325,26.22,83,44,4.22,GQ,1699850594
333,vernon,50.2581,-119.2691,5.74,72,100,2.57,CA,1699850427
334,al hasakah,36.5024,40.7477,18.65,45,37,1.69,SY,1699850594
335,smithers,54.7804,-127.1743,-1.82,100,100,1.03,CA,1699850594
336,berdigestyakh,62.0989,126.6992,-14.77,92,95,3.5,RU,1699850594
337,palangkaraya,-2.2,113.8333,24.4,95,100,0.97,ID,1699850594
338,tual,-5.6667,132.75,27.95,77,46,4.51,ID,1699850595
339,pacific grove,36.6177,-121.9166,14.12,89,75,1.54,US,1699850595
340,galle,6.0367,80.217,26.03,88,100,2.79,LK,1699850595
341,kapa'a,22.0752,-159.319,26.99,82,75,10.29,US,1699850595
342,princeton,25.5384,-80.4089,27.01,84,0,2.57,US,1699850003
343,robertsganj,24.7,83.0667,25.69,40,14,1.57,IN,1699850595
344,bengkulu,-3.8004,102.2655,27.9,79,62,5.16,ID,1699850596
345,beibei,29.8256,106.4339,11.87,77,100,2.05,CN,1699850596
346,plastun,44.7561,136.2939,0.07,48,60,5.23,RU,1699850596
347,iwaki,37.05,140.8833,12.85,54,90,1.34,JP,1699850596
348,qamdo,31.1667,97.2333,0.14,32,0,1.64,CN,1699850596
349,palapye,-22.546,27.1251,20.18,66,93,9.07,BW,1699850596
350,okhotsk,59.3833,143.3,-13.44,76,4,8.3,RU,1699850596
351,queenstown,-31.8976,26.8753,11.22,75,2,0.18,ZA,1699850597
352,santa cruz,-17.8,-63.1667,29.7,62,46,7.72,BO,1699850594
353,basoko,1.2391,23.616,20.97,95,80,1.07,CD,1699850597
354,princeville,45.7668,-61.2985,2.4,94,100,2.06,CA,1699850597
355,beltran,-27.8291,-64.061,20.43,52,99,6.32,AR,1699850597
356,kasongo-lunda,-6.4667,16.8167,20.68,99,100,0.85,CD,1699850597
357,klyuchi,52.2667,79.1667,4.96,81,98,5.6,RU,1699850597
358,colonia general alfredo stroessner,-25.3667,-55.7,27.25,55,80,1.84,PY,1699850598
359,peto,20.1333,-88.9167,22.4,99,8,0.99,MX,1699850598
360,pallisa,1.145,33.7094,20.84,88,78,1.75,UG,1699850598
361,ryotsu-minato,38.0833,138.4333,8.97,61,71,9.34,JP,1699850598
